"%s Item(s)","%s Item(s)"
"%s Item(s)","%s Item(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)" 
"phone","Your Phone"
"Le portail Hotels Grand Paris vous propose une s&eacute;lection d&acute;h&ocirc;tels ind&eacute;pendants authentiques, insolites et intimes &agrave; Paris.  Pour compl&eacute;ter cette exp&eacute;rience parisienne, nous vous proposons une s&eacute;lection d&acute;adresses ind&eacute;pendantes et non standardis&eacute;es en lien avec le voyage.
Si vous partagez nos valeurs et souhaitez nous soumettre votre site pour figurer sur cette page, sachez que nous proc&eacute;dons &agrave; des &eacute;changes de liens avec des sites.","The Hotels Grand Paris Web Portal handpicks a selection of independent authentic, original and unique Hotels in Paris. To go further than this Parisian experience, we provide a short list of quality independent places related to travel. 
If you share our vision of travel and wish to be listed on this page, you can submit your Website.  We make link exchange on reciprocal basis.
So do not hesitate to contact us through the contact form beside!"
"page of your site where the link will appear","Reciprocal Link URL on your website domain"
"your mail address","Your Email"
"exemple of links to cpy and paste in your site","Link to copy & paste in the page at the URL<br/> specified below."
"200 char min","(limit: 200)"
"URL of your site","Your Website URL"
"Name site","Website Name"
"Links Exchange","Links & Partners"
"Les adresses authentiques, insolites et intimes Hotels Grand Paris","Hotels Grand Paris - Authentic, Orginal &amp; Unique Places"
"Nos adherents","Our Members"
"Des adresses en France","Our selection of hotels in France"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"1 column","1 column" 
"2 columns with left bar","2 columns with left bar"
"2 columns with right bar","2 columns with right bar"
"3 columns","3 columns"
"About the calendar","About the calendar"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Close"

"Close Window","Close Window"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","Default Description"
"Default welcome msg!","Default welcome msg!"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"Empty","Empty"
"Paris Inn Group", "Paris Inn Group Hotel Investment and Asset Management"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Interface Language","Interface Language"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Next Page","Next Page"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","Page:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","Previous Page"
"Redirecting...","Redirecting..."
"Report All Bugs","Report All Bugs"
"Select Store","Select Store"
"Select date","Select date"
"Show","Show"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","Skip to Main Content"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"Time selection:","Time selection:"
"Time:","Time:"
"We detected that your JavaScript seem to be disabled.","We detected that your JavaScript seem to be disabled."
"Welcome, %s!","Welcome, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","You must have JavaScript enabled in your browser to utilize the functionality of this website."
"You're currently on:","You're currently on:"
"Your Language","Your Language"
"Your Language:","Your Language:"
"per page","per page"
"Home", "Home"
"Hotel", "Hotels"
"About us", "About us"
"Partenaireship", "Partnership"
"Contacts", "Contact us"
"Search on the map", "View Paris Hotel Map"
"Hotels Grand Paris", "Hotels Grand Paris"
"Independants Hoteliers", "Independent hotels"
"Subscribe", "Submit"
"Your e-mail", "Enter your email address"
"To be informed of our last news", "Be informed of our latest news and Promotion, subscribe now!"
"Newsletter", "Newsletter signup"
"Back to home", "Back to Home Page"
"For any request or suggestion relating to HotelsGrandParis, please contact us by completing the form below. We try to answer you as soon as possible.", "Use our contact form to send questions and comments. We appreciate your feedback! We will do our best to get back to you in a timely manner."
"If your application is for a reservation, we thank you indicate your reservation number", "If you contact us regarding an existing booking, please mention the booking number in your request"
"Browse our selection","Find a hotel in Paris"
"Fill this area","Please enter your search term."
"Search","Search"
"See all hotels in Paris","See all hotels in Paris"
"Your search","Location, hotel name"
"Book your hotel","Book a hotel in Paris"
"Book_list","View availability &amp; rates"
"Advanced_option","Advanced option - View room rate calendar"
"Book_home","Check Availability &amp; rates"
"Book this hotel","View availability &amp; rates for this hotel"
"Arrival Date","Arrival Date"
"Nb. of night(s)","Nb. of night(s)"
"Date outside the planning","Date outside of the planning"
"January","January"
"February","February"
"March","March"
"April","April"
"May","May"
"June","June"
"July","July"
"August","August"
"September","September"
