"%s Item(s)","%s article(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Boutique de démo Magento. Tous droits réservés."
"(ver. %s)","(ver. %s)"
"Click <a href=""%s"">here</a> if nothing has happened","Cliquez <a href=""%s"">ici</a> si rien ne se passe"
"Close Window","Fermer la fenêtre"
"Default Description","Description par défaut"
"Default welcome msg!","Message d'accueil par défaut"
"Help Us to Keep Magento Healthy","Aidez-nous à améliorer Magento"
"Interface Language","Langage de l'interface"
"Items %s to %s of %s total","Articles <strong>%s</strong> à <strong>%s</strong> sur un total de <strong>%s</strong>"
"Next Page","Page suivante"
"Page:","Page :"
"Submit","Envoyer"
"phone","Téléphone"
"Le portail Hotels Grand Paris vous propose une s&eacute;lection d&acute;h&ocirc,tels ind&eacute,pendants authentiques, insolites et intimes &agrave, Paris.  Pour compl&eacute,ter cette exp&eacute,rience parisienne, nous vous proposons une s&eacute,lection d&acute,adresses ind&eacute,pendantes et non standardis&eacute,es en lien avec le voyage.
Si vous partagez nos valeurs et souhaitez nous soumettre votre site pour figurer sur cette page, sachez que nous proc&eacute,dons &agrave, des &eacute,changes de liens avec des sites.","Le portail Hotels Grand Paris vous propose une sélection d’hôtels indépendants authentiques, insolites et intimes à Paris.  Pour compléter cette expérience parisienne, nous vous proposons une sélection d’adresses indépendantes et non standardisées en lien avec le voyage.
Si vous partagez nos valeurs et souhaitez nous soumettre votre site pour figurer sur cette page, sachez que nous procédons à des échanges de liens avec des sites.
N’hésitez pas à nous contacter via le formulaire de contact ci-contre !"
"Nos adherents","Nos adhérents"
"Les adresses authentiques, insolites et intimes Hotels Grand Paris","Les adresses authentiques, insolites et intimes d’Hotels Grand Paris"
"Links Exchange","Liens Partenaires"
"page of your site where the link will appear","Page de votre site où notre lien apparaîtra"
"your mail address","E-mail"
"exemple of links to cpy and paste in your site","Exemple de lien à copier-coller dans votre page"
"200 char min","(limit: 200)"
"URL of your site","URL de votre site"
"Name site","Nom du site"
"Previous Page","Page précédente"
"Redirecting...","En cours de redirection..."
"Report All Bugs","Signaler un dysfonctionnement"
"Select Store","Choisir un magasin"
"Show","Afficher"
"Skip to Footer","Aller au pied de page"
"Skip to Left Column","Aller à la colonne de gauche"
"Skip to Main Content","Aller au contenu principal"
"Skip to Right Column","Aller à la colonne de droite"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ceci est une boutique de démonstration. Aucune commande passée sur cette boutique ne sera honorée."
"Welcome, %s!","Bienvenue, %s !"
"You're currently on:","Vous êtes actuellement sur :"
"Your Language","Langue"
"Your Language:","Votre langue :"
"per page","par page"
"Home", "Accueil"
"Hotel", "Hôtels"
"Paris Inn Group", "Paris Inn Group,Investissement et gestion d'actifs hôteliers"
"About us", "Qui sommes-nous ?"
"Partenaireship", "Partenariat"
"Contacts", "Contact"
Pour toute question ou suggestion relative à Hotels Grand Paris, vous pouvez également nous contacter en choisissant le champ vide dans la liste déroulante. Nous vous répondrons dans les meilleurs délais."
"Search on the map", "Trouvez un hôtel à Paris sur la carte"
"Hotels Grand Paris", "Hôtels Grand Paris"
"Independants Hoteliers", "Hoteliers indépendants"
"Subscribe", "S'inscrire"
"Your e-mail", "Votre e-mail"
"To be informed of our last news", "Pour connaître nos dernières actualités, nouveautés et promotions, abonnez-vous !"
"Newsletter", "Lettre d'information"
"Back to home", "Retour à l'accueil"
"For any request or suggestion relating to HotelsGrandParis, please contact us by completing the form below. We try to answer you as soon as possible.", "Pour toute demande ou suggestion relatives à HotelsGrandParis, n’hésitez pas à nous contacter en complétant la fiche ci-dessous.
Nous nous efforcerons de vous apporter une réponse dans les meilleurs délais."
"If your application is for a reservation, we thank you indicate your reservation number", "Si votre demande concerne une réservation, nous vous remercions d’indiquer votre numéro de réservation"
"Browse our selection","Recherchez un hôtel à Paris"
"Fill this area","Merci de saisir votre recherche."
"Search","Rechercher"
"See all hotels in Paris","Voir tous les hôtels à Paris"
"Your search","Votre recherche"
"Book your hotel","Réservation de votre hôtel à Paris"
"Book_list","Voir disponibilit&eacute;s et tarifs"
"Advanced_option","Option avancée - Calendrier chambres et tarifs"
"Book_home","Voir disponibilités et tarifs"
"Book this hotel","Voir disponibilit&eacute,s et tarifs pour cet hôtel"
"Arrival Date","Date d'arrivée"
"Nb. of night(s)","Nb. de nuit(s)"
"Date outside the planning","Date en dehors du planning"
"January","Janvier"
"February","Février"
"March","Mars"
"April","Avril"
"May","Mai"
"June","Juin"
"July","Juillet"
"August","Août"
"September","Septembre"
"October","Octobre"
"November","Novembre"
"December","Decembre"
"See the complete list","Voir la liste complète"
"from","&agrave; partir de"
"From_","&Agrave; partir de"
"Grand Hotel Paris, addresses authentic, unusual and intimate !","<br /><br />Hotels Grand Paris, des adresses authentiques, insolites et intimes !"
"Back to overview","Revenir à la vue générale"
"Select your points of interest","Sélectionner vos points d'intérêt"
"Hotel","Hôtels"
"Do not miss","A ne pas manquer"
"Enter a location","Entrer une localisation"
"Location1","Localisation"
"Best prices guaranteed !","meilleur prix garanti !"
"In brief","En bref"
"Breakfast","Petits déj."
"Features","Prestations"
"Style","Style"
"Ambiance","Ambiance"
"Services","Services"
"Lang. spoken","Langues parlées"
"Nb. rooms","Nb. chambres"
"Manufacture year","Année de construction"
"About the hotel","A propos de l'hôtel"
"References and Press","Guide et presse"
"Special Conditions","Conditions particulières"
"Breakfast (prices from)","Petit-déjeuner (prix à partir de)"
"Check-inn","Check-in"
"Check-out","Check-out"
"Booking conditions","Conditions de réservation"
"Cancellation Policy","Conditions d'annulation"
"Payment cards accepted","Cartes de paiement acceptées"
"See this hotel","Voir cet hôtel"
"Message","Message"
"Canal Saint-Martin, Belleville, La Villette","Canal Saint-Martin, Belleville, La Villette"
"Montmartre, Pigalle, Trinite","Montmartre, Pigalle, Trinité"
"Porte Maillot, Monceau , Wagram, Champerret","Porte Maillot, Monceau , Wagram, Champerret"
"Porte de Versailles, Lecourbe, Andre Citroen","Porte de Versailles, Lecourbe, André Citroën"
"Passy, Auteuil, Bois de Boulogne","Passy, Auteuil, Bois de Boulogne"
"Denfert Rochereau, Alesia, Cite universitaire","Denfert Rochereau, Alésia, Cite universitaire"
"Bercy, Bois de Vincennes, BnF, Place d’Italie","Bercy, Bois de Vincennes, BnF, Place d’Italie"
"Republique, Bastille, Nation","République, Bastille, Nation"
"Marais, Les Halles, Beaubourg","Marais, Les Halles, Beaubourg"
"Opera, Grands Boulevards, Bourse","Opéra, Grands Boulevards, Bourse"
"Louvre, Champs-Elysees, Etoile","Louvre, Champs-Elysées, Etoile"
"Tour Eiffel, Trocadero, Invalides","Tour Eiffel, Trocadéro, Invalides"
